Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
121,14.73333333,0,5,6,8,8,2,2,0,0,-1,1,0,0,1,1,0.047619048,4,0.285714286,5,0.142857143,2,0.666666667,1,0.090909091,3,0.214285714,18,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
122,16.35,0,4,5,7.666666667,6.5,6,3,2,2,-3,1,0,0,1,1,0.047619048,4,0.285714286,5,0.142857143,2,0.666666667,3,0.272727273,5,0.357142857,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
123,35.01666667,1,4,6,5.666666667,8.5,8,3,2,1,-3,1,1,2,1,3,0.142857143,8,0.571428571,11,0.314285714,2,0.666666667,3,0.272727273,5,0.357142857,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
124,23.43333333,0,4,7,1.666666667,8.5,3.333333333,2,-1,-1,0,-2,2,0,1,1,0.047619048,6,0.428571429,7,0.2,2,0.666666667,5,0.454545455,7,0.5,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
125,18.3,0,0,2,2,6,8,2,2,1,0,2,1,0,0,0,0,3,0.214285714,3,0.085714286,2,0.666666667,2,0.181818182,4,0.285714286,20,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
126,15.61666667,1,3,6,6.333333333,8,5.333333333,3,-1,0,0,-2,-1,4,2,6,0.285714286,10,0.714285714,16,0.457142857,1,0.333333333,4,0.363636364,5,0.357142857,19,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
127,13.55,0,1,2,4.333333333,3.5,4,2,-1,0,0,-3,-2,0,0,0,0,7,0.5,7,0.2,1,0.333333333,1,0.090909091,2,0.142857143,19,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
128,22.8,0,2,3,0,4.5,3.666666667,2,0,0,-1,-2,-3,0,2,2,0.095238095,11,0.785714286,13,0.371428571,1,0.333333333,1,0.090909091,2,0.142857143,19,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
129,14.46666667,0,7,9,3,9.5,5,2,-2,0,-3,-4,-1,3,0,3,0.142857143,7,0.5,10,0.285714286,1,0.333333333,2,0.181818182,3,0.214285714,,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
130,19.3,0,2,3,5,5.5,7,3,0,0,-1,1,-1,2,3,5,0.238095238,7,0.5,12,0.342857143,3,1,2,0.181818182,5,0.357142857,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
131,17.4,1,3,6,2.333333333,5.5,8.666666667,2,-1,0,-1,0,-1,2,0,2,0.095238095,8,0.571428571,10,0.285714286,1,0.333333333,3,0.272727273,4,0.285714286,21,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
132,13.35,0,2,4,2.666666667,5,5.333333333,3,0,-1,0,-1,0,0,0,0,0,4,0.285714286,4,0.114285714,0,0,2,0.181818182,2,0.142857143,22,Female,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
133,128.6,0,4,5,8.333333333,9.5,5,4,0,0,0,-1,-2,0,2,2,0.095238095,11,0.785714286,13,0.371428571,2,0.666666667,3,0.272727273,5,0.357142857,23,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
134,18.06,0,4,5,5,6.5,7.333333333,3,-1,0,0,1,-1,5,3,8,0.380952381,8,0.571428571,16,0.457142857,1,0.333333333,3,0.272727273,4,0.285714286,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
135,18.2,0,1,2,2.333333333,6,3,3,-1,-1,-1,0,0,2,1,3,0.142857143,10,0.714285714,13,0.371428571,1,0.333333333,2,0.181818182,3,0.214285714,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
136,18.71666667,1,1,3,3,5,5,3,1,-1,-1,-1,-1,1,1,2,0.095238095,9,0.642857143,11,0.314285714,3,1,4,0.363636364,7,0.5,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
137,13.41,1,3,7,5.333333333,5,5.666666667,3,0,0,0,-3,-4,0,2,2,0.095238095,12,0.857142857,14,0.4,2,0.666666667,3,0.272727273,5,0.357142857,20,Male,Fluent,Non-Native,Irrelevant,Animation,Irrelevant Animation
138,22.68333333,0,7,9,4.333333333,9,8,3,1,3,0,1,2,5,3,8,0.380952381,9,0.642857143,17,0.485714286,0,0,1,0.090909091,1,0.071428571,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
139,20.2,0,8,9,4,5.5,6,2,0,0,-1,0,0,1,4,5,0.238095238,11,0.785714286,16,0.457142857,2,0.666666667,4,0.363636364,6,0.428571429,21,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
140,17.36666667,0,4,6,4,2,7.666666667,3,3,1,0,-1,-1,2,3,5,0.238095238,8,0.571428571,13,0.371428571,2,0.666666667,3,0.272727273,5,0.357142857,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
141,19.15,0,2,5,5.666666667,8,7.333333333,3,0,0,0,-1,-1,0,0,0,0,9,0.642857143,9,0.257142857,2,0.666666667,1,0.090909091,3,0.214285714,21,Male,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
