Participant ID ,Qualtrics ID,Duration (min),PK OR ,PK Self-Rating,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Retention OR1,Retention OR2,Retention OR3,OR Retention Total,MC Retention,Retention Total,Transfer OR1,Transfer OR2,Transfer OR3,Transfer OR Total,Transfer MC,Transfer Total,Delay,Relevancy,Animated?,Fluent,Native
1,R_2irjXAQf2viDMeR,15.25,0,1,0,1,3,3,2.333333333,0,0,0,0,6,6,0,0,0,0,0,0,Immediate,Irrelevant,Static,2,2
2,R_VOnumFfZmKnb3kB,18.26666667,0,1,1,2,2,4,4.666666667,2,1,1,4,10,14,0,1,0,1,2,3,Delayed,Relevant,Static,1,1
3,R_2QZ0KhlU3C08IEj,19.16666667,0,3,3,6,9,10,8,4,0,0,4,7,11,0,1,1,2,1,3,Delayed,Irrelevant,Animation,1,1
4,R_T1V98LugcbBgkrn,20.01666667,1,2,5,8,4.333333333,8.75,5,2,3,1,6,11,17,1,2,0,3,2,5,Delayed,Irrelevant,Static,1,2
5,R_Z2ExFpzVyUjYIyB,20.11666667,0,1,7,8,5,6.75,8,4,4,2,10,13,23,1,1,1,3,1,4,Immediate,Relevant,Animation,1,1
6,R_1LCgoW8vUIRUu89,18.63333333,1,2,4,7,3.666666667,5.75,6,3,2,2,7,11,18,1,1,1,3,2,5,Immediate,Irrelevant,Animation,1,1
7,R_1rCbOYtURgwr1RX,23.98333333,2,3,10,15,6.333333333,6.75,6.666666667,3,8,2,13,12,25,2,1,1,4,3,7,Delayed,Relevant,Static,1,1
8,R_2TpbqpxNK9ulyZn,89.26666667,0,1,3,4,2.333333333,5.5,6.666666667,2,0,2,4,12,16,1,1,1,3,1,4,Immediate,Irrelevant,Animation,1,2
9,R_3MsrZvptu9f0YJx,23.26666667,1,1,0,2,0,6,1.666666667,4,3,0,7,12,19,1,2,1,4,2,6,Delayed,Relevant,Animation,1,1
10,R_2E04Scw1OqaGrtZ,12.78333333,0,1,0,1,1.333333333,3.5,3.666666667,3,0,0,3,5,8,1,1,0,2,3,5,Immediate,Irrelevant,Static,1,2
11,R_2Wx0Fis0M9sixeq,14.53333333,0,2,7,9,7,9,4.666666667,4,1,2,7,12,19,0,1,0,1,1,2,Delayed,Relevant,Static,1,1
12,R_1PUghbXzLaW6QpL,20.75,0,1,0,1,5.666666667,6.25,6,3,0,2,5,8,13,1,0,1,2,1,3,Delayed,Irrelevant,Animation,1,1
13,R_1i35zExRNDpWTjF,15,0,3,1,4,2,8.25,4.666666667,1,0,0,1,6,7,1,1,1,3,2,5,Immediate,Relevant,Static,1,2
14,R_1rq1xCFlSw0frrR,17.26666667,0,1,6,7,8,9.5,6.333333333,5,3,1,9,8,17,1,2,1,4,1,5,Immediate,Relevant,Animation,1,1
15,R_1hXQMP7BsUYk23M,18.63333333,1,3,9,13,8,9.25,9,3,5,2,10,8,18,1,0,1,2,1,3,Immediate,Irrelevant,Static,1,2
16,R_PA3WjwQivEHbMmR,24.11666667,1,1,0,2,3.666666667,7.5,7,3,0,0,3,6,9,0,1,0,1,2,3,Delayed,Relevant,Animation,1,1
17,R_3e2MibffLyP0CKh,21.7,0,1,4,5,4.666666667,7.25,5.666666667,4,1,0,5,5,10,1,1,0,2,1,3,Delayed,Relevant,Static,1,1
18,R_1JLodTYXQDR7F9V,19.86666667,1,1,0,2,4.333333333,4.75,5.666666667,3,0,0,3,9,12,1,2,0,3,3,6,Delayed,Irrelevant,Static,1,2
19,R_3CT4yOpAUKhiuQB,15.03333333,0,3,1,4,5.333333333,10,8.333333333,1,1,0,2,8,10,1,0,1,2,2,4,Immediate,Irrelevant,Animation,1,1
20,R_Oxrse9lpHYpx20h,20.68333333,1,1,1,3,9,10,10,2,1,0,3,9,12,1,0,0,1,2,3,Immediate,Relevant,Static,1,1
